ending,frequency
दिया,345
हैं,2053
है,5409
था,1057
आएं,4
करे,15
जाए,65
करें,70
गया,420
हो,46
किए,14
रहे,64
थे,462
बनाया,11
करेगी,25
थीं,84
गए,180
चाहिए,141
थी,656
जाएंगी,7
होगा,124
पाएंगे,16
जाएगा,148
देगी,14
होंगे,45
रहेगा,21
आए,37
किया,283
देगा,11
दूंगा,5
गई,244
आईं,11
होगी,120
देखें,2
जाएगी,75
आया,16
रही,37
मिली,29
दी,170
पहुंची,11
ली,43
हुआ,75
ने,2
चाहता,3
चलेगा,10
बरसे,2
उठाया,13
रखा,9
जताया,6
देंगे,25
लिया,117
की,190
जाएं,15
बोला,7
जताई,10
करेंगे,76
आएंगे,33
सकता,20
करेगा,20
दिन,1
लेंगे,11
सुनी,3
रहा,40
रहेंगे,17
मिला,42
रहेगी,11
पहुंचे,17
जाएंगे,38
लगा,25
दिखाए,2
सके,47
मिलेगी,15
डा,2
मिलेगा,30
दिए,27
रहेंगी,5
सकेंगे,11
करेंगी,15
उठता,1
नहीं,55
के,22
कहा,20
..,2
शूटिंग,1
बचा,1
हुई,88
रिंग,1
निभाएंगे,3
दें,20
निकालेंगे,1
,67
आमिर,1
हटाएं,1
हूं,78
आर.के,1
बस,3
कीजिए,4
गईं,18
लगे,34
हुए,48
सिंह,2
कहानी,3
दिखाई,2
लगी,16
खेलेगा,1
हैरान,1
बना,2
साथी,1
बनूंगा,1
होता,7
दीवाना..,1
से..,1
लगेगा,4
लीजिए,10
लगेंगे,1
पाएगा,4
सराहें,1
तो..,3
करूंगी,2
रुकीं,2
आएगा,9
नहीं.,1
लें,21
गए..,1
लगता,3
जगाया,1
मुंडे,1
न,2
हैं...,2
आतीं,1
वो..,1
खरीदें,2
संस्था,1
इग्नोर,1
सर,1
चलीं,1
सकी,10
याद,2
पहुंचाना,1
करना,4
खेलूंगा,1
रखें...,1
रहें,5
रखें,3
प्लांट,1
जलाएं,1
मानी,1
रखी,5
रखीं,1
कराया,14
लाए,2
करो,3
देखा,12
बैठता,1
देता,4
बचे,1
डरते,1
डर,1
आई,18
कपूर,2
थमा,2
डाले,7
सकते,9
बनाई,10
कैसे,2
में,14
जाते,3
सुना,3
लगीं,9
नवाजा,1
गाई,1
कराई,11
रहना,1
लौटीं,1
गाया,1
रुका,2
फटकारा,1
सौंपे,1
कही,10
मिले,15
करवाएंगे,1
है..,9
बताया,34
बचाई,2
कहलाएगा,1
बने,14
भाईचारा,1
पहुंचाए,1
उठाएगी,3
बटोरीं,1
होगें,1
कीं,8
.,3
से,8
अंत,1
दूर,1
किनारे,1
तोहफा,1
कवर,1
देने,1
भेजेगा,3
सकेगी,3
राजनीति,1
लिए,19
देंगी,5
बोर्ड,1
कराएंगे,2
मिलता,2
का,9
सुहाया,1
ना,1
पहलू,1
पाई,8
पाए,10
प्यारे..,1
जाना,3
टब,1
सर्विसेज,1
भरेंगे,1
सी,1
बताएंगे,3
पुलिस..,1
शिकार,1
खींचा,1
नारे,1
दिखे,1
करते,8
मचा,2
कराएगी,4
साधा,6
करता,5
चाहूंगा,1
घटी,2
एग्रेसिव,1
लेगी,1
सटीक,1
आता,2
सका,9
पाया,13
होते,2
मिलीं,1
दिखाईं,1
आर,3
एस,4
जी,2
कमाए,3
उठाएगा,4
कहेंगे,2
होती,11
मारा,8
पाएगी..,1
सौंपा,2
अपनाया,2
स्ट्रेट,1
अच्छा,1
हुआ..,2
हाल,2
खबर..,2
साथ,5
रुपए,1
किडनैपिंग,1
लिखवाई,1
भी,5
उठा,1
बदलेगा,1
बचीं,1
दान,2
वायरल,2
खास..,2
रहीं,4
लगेगी,2
हुईं,2
चाहेगा,2
करती,3
बैन,1
चला,9
टकराएंटी,1
होना,4
बनाइये,1
घटिया,1
पगला.,1
पगला..,1
आएंगी,11
दिखेंगे,3
बनाएगी,3
किसान,1
सुनाई,2
ठहरा,1
पूछे,2
मुस्लिम,2
सोचता,1
वाला,3
समर्थन,2
जीतेगा,1
चाहती,7
मामला,1
कांग्रेस,1
बीजेपी,1
पहुंचाएंगे,2
मांगेगी,1
बताई,4
भारत,1
हुई..,1
दिखा,3
खोला,5
काश,1
पटेल,1
फेंकू...फेंकू..,1
रुके,3
उठे,1
डाला,11
हटेंगे,2
बरसीं,1
लगाई,4
सकती,10
सकतीं,5
बनाओ,1
चाहते,4
जातीं,2
लगती,2
शरीफ,1
ढूंढा,1
सकें,16
जीता,3
गयी,4
दिखीं,1
रखेगी,2
जताएंगे,1
गिरी,1
उठाए,4
बनाए,8
पूछा,4
दिक्कतें,2
बनाएं,2
डलवाएं,1
रोका,2
लगाया,5
रुकी,2
जिला,2
परेशान,1
खुर्द,1
वजह.,1
भिजवाया,2
मुआवजा,1
प्रावधान,1
सकेगा,9
हैं..,5
हूं..,1
हराया,2
वी,1
आऊंगी,1
मांगी,6
जरुर,1
घुसे,1
भागे,2
भगाया,1
पोस्टर,1
आलिया,1
तैयार,1
निभाएंगी,1
रची,1
डाली,4
दीं,6
माया,1
ढही,1
कारोबारी,1
जाये,1
लिखे,1
बोलें,1
बोले,1
नं,1
घुमाया,2
चलेगी,4
कहने,1
मांगा,3
निकलीं,2
दे,2
रु,10
जीत,1
थकेंगे,1
को,4
चुना,2
पहुचें,1
बुलाया,8
बजे,3
भेजेंगे,1
धवन,1
बचें..,1
सोएं,1
पिएं,1
खाएं,2
गूंजी,1
दिखी,2
नहीं..,1
सरोकार,1
पर्सेंट,1
क्या,6
लम्बी,1
जाऊं,1
मिस्टेक्स,1
नम्बर,1
गुजरे,1
कटती,1
पिया,1
पाती,1
पूछती,1
लिखती,1
पता,2
देना,1
लो,1
तो,1
जाओ,2
बाली,1
सोनाली,1
छपेगा,1
कौन,2
पोल,2
बी,1
मनाएंगे,1
पूछो,1
चाहेगी,1
ध्यान..,1
बिछाएं,1
मांगे,1
बहाएं,1
सामने,2
कहीं,1
फहराएंगे,2
देखी,3
लौटा,1
शो,1
दिखेंगी,2
चटकाए,1
खबरें..,1
जाइए,2
दबोचा,6
खिलाएं,1
बनाएंगे,2
मचाया,6
लौटे,8
रखे,2
चाहिये,3
फंसे,1
दोहराई,2
गिरे,1
बातें,3
पहुंचा,4
रखतीं,1
आएगी,3
सौगात,1
फैसला,2
जांच,1
रिलीज,1
वीडियो,2
इंच,1
टीजर,1
निकला,3
भेजा,5
आगे..,1
तुरंत,1
चलें,1
चूमें,1
जाऐंगे,1
पहुंचेंगे,6
पहनें,1
ट्रांसपेरेंट,1
घरवाले,1
सुनाया,3
रखूंगी,2
सुनेगी,1
पहुंचेगी,2
चाहा,1
निभाएं,1
सोचेगी,1
खबर,1
लुटायेगा,1
जाती,2
निकले,3
होंगी,4
एन,2
सोचें,1
लगाए,7
चलाई,3
सिखाई,1
हिचकिचाते,1
लोग,1
दास्तां,2
हों,13
लिखा,3
करवाया,2
गौरा,1
ही,1
बदला,2
रोको,1
बांटा,1
दम,1
पीटा,2
क्वीन..,1
लगें,1
हारी,2
करतीं,4
लेंगी,1
दिखाया,3
बताती,1
एस.एस,1
चली,4
बची,1
खासियतें.,2
किमी,11
गुजरेगी,1
स्टेशन,1
लें..,1
सरकार,2
पर,4
मोर्चा,1
प्रो,3
भूलेंगे,1
निकाला,6
लपके,1
गिरेंगे,1
मुकरेंगे,1
पी,3
एल,1
कप,2
सांत्वना,1
माना,2
जी.एल,1
डी.जी,1
छीने,1
मिलवाया,1
बैठे,2
थमाया,1
निभाया,1
सिमटी,2
खेली,4
झटका,1
झटके,5
चूके,1
ठोके,1
यादव,1
एंडरसन,1
मारें,1
पूजा..,1
घोटाला,1
सौंपी,1
फिल्म,2
मुस्कुराया,1
लगाम,1
नाेट,1
रुपया,1
पुलिस,1
एव्रीवन,1
ठहराएं,1
आभार,1
दिलाई,3
टकराई,1
रन,1
पहुंचाया,3
बुलवाया,1
बोझ,1
झंझट,1
जरिये,1
तौला,1
मनाया,1
लाडले,1
लगते,1
शर्मा,1
मिलेंगे,3
जानते,2
मांगेंगी,1
करेगें,1
मांगूंगी,1
उतरेंगे,1
निकली,1
ठहरिए,1
गये,3
कार..,1
देते,1
गाए,1
खींचना,1
समझते,1
यहां,1
डिटेल्स,2
किरदार,1
समरसता,1
मैसेज,2
हकीकत,1
आरोप,1
गए...,1
थी..,1
पेरम्बरा,1
के.बी,1
के.पी,1
ओ,1
जीती,1
एम,3
ए.एन,2
वी.के,2
मोदी,1
जेटली,1
मुखर्जी,2
जाता,3
सम्मान,1
करूंगा,4
प्यार,1
निकाली,3
दीजिए,2
फरमान,2
बताएंगी,1
खटखटाया,1
उठी,2
सवाल,1
बचाओ,1
ऐलान,1
लौटी,1
लिखी,2
सी.एल.यू,2
सबूत,1
वोट,1
नुकसान,1
कराईं,1
लेगा,5
सेना,1
ख्याल,1
बचें,2
भूलें,1
निपटाएंगे,1
फीसदी,2
परिवारवाद,1
खरीदे,1
कमाया,1
रुपये,2
कार्रवाई,1
लिंक,1
बोलते,1
तैयारी,1
पाऊंगी,1
लूंगी,1
निपटगी,1
वेल,1
बनेंगे,2
दास्तान,2
अपनाई,1
उतरती,1
बख्शेगी,1
पहंची,1
अगवा,1
खतरा,2
बात,1
चालें,1
नामोनिशान,1
एस.पी,2
अलग,1
एच,1
पहनाएंगे,1
और,3
बहू..,1
गया..,1
स्टाइल,1
जलें,1
.....,1
बनाएंगी,1
निजात..,1
बुलाई,1
एम.एन,1
सरगना,1
बगदादी,1
चलाया,1
नाम,1
दूंगी,2
ले,3
बहाया,1
लाया,1
करवाई,1
टूटेंगे,1
एक्सपीरियंसहै,1
बोहरा,1
पहुंचीं,1
बढूंगी,1
घूमे,1
खंगाला,1
सुधरेंगे,1
उठाएंगे,2
फांसी,2
पहुचेंगे,1
संभालेगी,1
वार्ता,1
जानकारी,1
तबाही,2
दिखाते,1
शोम,1
खान,2
मौका,1
अप्लाई,1
कहिए,1
शिकंजा,1
सिखाएगा,1
संभालेंगे,2
अब्राहम,1
आएंगें,1
धमाल,2
कैंसिल,2
हिचकिचाएंगी,1
भारतीयों,1
समझें,2
जताएं,1
खींची,1
उठाई,2
कराए,1
देती,1
एन.के,2
रैली,1
केरल,1
जेट्स,2
चाहिए.,1
तरह,1
रखना,1
पाओगे,1
रुकेंगे,1
बताए,2
पिलाऊंगी,1
सकूं,1
अत्याचार,1
मंडराएगा,2
रखती,1
होतीं,1
खाएंगे,1
पिएंगे,1
ओढेंगे,1
पहनेंगे,1
दागे,1
मिलाकर,1
मारूंगा,1
सिस्टम,1
बैठा,1
जायेगी,1
फेंकेंगे,1
बांटे,1
लाएगा,1
मायने..,1
क्यों,3
सुहागा,1
मुझे,1
करेगी...,1
रखेंगे,1
भेजीं,2
मिलूंगा,3
खेलें,1
मारते,1
कमाल,1
मानते,1
बार,1
खोया,1
आती,2
बताऊं,1
जानता,1
रोकते,1
भरी,5
कैमरा,1
वजह,2
गुजरी,1
कराएगा,1
जानें..,1
काम,1
उठें,1
पाते,1
हत्या,1
ए.के,1
त्यागी,1
खरीदेगा,1
वी.एस,1
कीजिये,1
निभाई,1
भेजेगी,1
खबरें....,2
प्रवचन,1
बनेगी,1
चाहेंगे,3
पाएंगी,1
अाया,1
कराएं,1
फायदे,1
जायेगा,1
श्मशान.,1
खुला,1
बदली,1
समझाए,1
खाते,1
करुंगी,1
करवाए,1
जााएगा,1
टिकेंगी,1
मरूंगी,1
चले,1
बताएगा,1
बसें,2
चलते,1
होम,1
था.,1
बराबर,1
उतारेंगे,1
टी,1
स्माइली,2
विधाएं,1
बीच,1
टिकी,1
बनें,1
मानें,1
शायरी,1
लव,1
सच,2
घई,1
साल,1
सूरी,1
लौटाएंगे,1
बताएं,1
उतारा,1
खुले,1
परेरा,1
कुमार,1
बुलाएगी,1
मिलाया,1
ठहरे,1
स्टोरेज,1
नरम,1
क्यों.,1
बिंदू,1
पाएगी,1
सच्चाई..,2
गिनाए,1
जुटे,2
गिराया,2
आर.एन,1
कैंसर..,1
राइटर,1
सोची,1
जानेंगे,1
होगा..,1
उठेगा,1
विदाई,1
गलत,1
किये,1
वजह..,1
करवाईं,1
रखता,1
मौका..,1
दिखेगा,2
रोई,1
सुझाव,1
